,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,Risk
7577,78422.0,UKC11_12967,UK,54.671058048973954,-1.223684802995919,2,11274.48756907318,39247.502232385326
7578,78423.0,UKC11_12968,UK,54.67102148850183,-1.2209911514973355,2,6764.692594956551,23547.604629430072
7579,78424.0,UKC11_12969,UK,54.669669857297315,-1.2176041868544467,2,16722.977618275552,58214.41327275704
7580,78425.0,UKC11_12970,UK,54.671276361586244,-1.218001741317987,2,14020.678811669131,48807.17810266645
7581,78426.0,UKC11_12971,UK,54.670018263652494,-1.2148643114784663,2,9099.480103434147,31675.533531255103
7582,78427.0,UKC11_12972,UK,54.66350533907156,-1.193243528985401,2,35308.96073828035,122826.89790770455
7583,78428.0,UKC11_12973,UK,54.662392649963635,-1.1906257421441495,2,41.412334692784015,143.37710113192583
7584,78429.0,UKC11_12974,UK,54.667242106437214,-1.2084450392012864,3,22428.70987219405,78077.28705591522
7585,78430.0,UKC11_12975,UK,54.66596226902763,-1.1929886303733472,2,43325.261150393504,150712.50461132612
7586,78431.0,UKC11_12976,UK,54.66925111882914,-1.197574311958733,2,31249.336332010866,108782.87926929143
7587,78432.0,UKC11_12977,UK,54.67282815155478,-1.2251035952491849,2,5311.107721316118,18487.91844810641
7588,78433.0,UKC11_12978,UK,54.67346700513517,-1.225192716354382,2,4879.661584231293,16985.929196229205
7589,78434.0,UKC11_12979,UK,54.67383058059183,-1.218944565104251,2,1277.7555703678174,4446.9343472244955
7590,78435.0,UKC11_12980,UK,54.673601394343365,-1.2183891782750291,2,2717.0813966489804,9457.30147848651
7591,78436.0,UKC11_12981,UK,54.67512792334365,-1.2241737797187051,2,12524.58970258067,43598.040254489344
7592,78437.0,UKC11_12982,UK,54.673721714447176,-1.2177693410883397,2,2526.074303807984,8792.241560988645
7593,78438.0,UKC11_12983,UK,54.67200266364197,-1.2150161744508898,2,15765.378277540967,54880.893843590784
7594,78439.0,UKC11_12984,UK,54.67213625801796,-1.2140797031260149,2,12269.725840945865,42711.79187004837
7595,78440.0,UKC11_12985,UK,54.67608541911172,-1.2184785766504889,2,1751.278868711276,6095.386232618083
7596,78441.0,UKC11_12986,UK,54.677138912717005,-1.2182581007888376,2,20053.714562214485,69808.12632891368
7597,78442.0,UKC11_12987,UK,54.675065374413954,-1.2113951930039,2,2580.9541508910997,8983.539694561066
7598,78443.0,UKC11_12988,UK,54.67698754891722,-1.2154210143456234,2,4606.811154966613,16036.163853375518
