,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,13/01/1984,14/01/1984,18/01/1995,24/01/2009,01/02/1983,25/03/1986,26/02/1990,28/02/1990,04/01/1998,11/02/1990,07/02/1996,27/12/1999,25/01/1990,11/02/2009,03/01/2012,28/01/1994,26/12/1999,16/12/2011,01/02/2008,25/11/1992,26/12/1998,16/10/1987,05/12/2013,08/02/1988,13/01/1993,07/01/2005,24/12/1997,27/01/2002,27/02/2010,23/11/1984,03/02/1990,08/02/1990,28/12/2011,30/10/2000,28/10/2013,22/10/1986,18/01/1983,20/01/1986,08/01/1991,18/01/2007,08/12/1993,05/11/1996,11/01/2005,03/12/1999,27/10/2002,27/10/1996,02/03/2008,28/10/1998,02/11/1981,26/12/2011,29/11/1988,28/03/1997,23/01/1993
24,43037,UKC11_80,UK,54.5039047,-1.416917245,12,1907.339895,4.2284811,84.569622,0,0,594.5244427,0,84.569622,0,0,0,0,0,0,0,0,0,0,0,0,0,84.569622,0,0,84.569622,0,5327.886186,1.26854433,84.569622,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2284811,0,4.2284811,0,0,0,0,0,0,0,0,1.69139244
25,43038,UKC11_81,UK,54.49501098,-1.39968224,18,2938.42174,6.764508485,135.2901697,0,0,951.089893,0,135.2901697,0,0,0,0,0,0,0,0,0,0,0,0,0,135.2901697,0,0,135.2901697,0,8523.280691,2.029352546,135.2901697,0,0,0,0,0,0,0,0,0,0,0,0,0,6.764508485,0,6.764508485,0,0,0,0,0,0,0,0,2.705803394
26,43067,UKC11_103,UK,54.52857454,-1.432817911,12,3077.301737,6.822230408,136.4446082,0,0,959.2055954,0,136.4446082,0,0,0,0,0,0,0,0,0,0,0,0,0,136.4446082,0,0,136.4446082,0,8596.010314,2.046669122,136.4446082,0,0,0,0,0,0,0,0,0,0,0,0,0,6.822230408,0,6.822230408,0,0,0,0,0,0,0,0,2.728892163
27,43068,UKC11_104,UK,54.52291686,-1.422546527,18,1821.842206,4.194042978,83.88085955,0,0,589.6824427,0,83.88085955,0,0,0,0,0,0,0,0,0,0,0,0,0,83.88085955,0,0,83.88085955,0,5284.494152,1.258212893,83.88085955,0,0,0,0,0,0,0,0,0,0,0,0,0,4.194042978,0,4.194042978,0,0,0,0,0,0,0,0,1.677617191
28,43069,UKC11_105,UK,54.51445966,-1.405195922,12,3451.110316,7.650946107,153.0189221,0,0,1075.723023,0,153.0189221,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0189221,0,0,153.0189221,0,9640.192095,2.295283832,153.0189221,0,0,0,0,0,0,0,0,0,0,0,0,0,7.650946107,0,7.650946107,0,0,0,0,0,0,0,0,3.060378443
29,43070,UKC11_106,UK,54.507256,-1.386694358,12,6675.989193,14.80034796,296.0069592,0,0,2080.928923,0,296.0069592,0,0,0,0,0,0,0,0,0,0,0,0,0,296.0069592,0,0,296.0069592,0,18648.43843,4.440104388,296.0069592,0,0,0,0,0,0,0,0,0,0,0,0,0,14.80034796,0,14.80034796,0,0,0,0,0,0,0,0,5.920139183
30,43071,UKC11_107,UK,54.51875671,-1.394093536,12,4378.843011,9.707685011,194.1537002,0,0,1364.900513,0,194.1537002,0,0,0,0,0,0,0,0,0,0,0,0,0,194.1537002,0,0,194.1537002,0,12231.68311,2.912305503,194.1537002,0,0,0,0,0,0,0,0,0,0,0,0,0,9.707685011,0,9.707685011,0,0,0,0,0,0,0,0,3.883074004
31,43072,UKC11_108,UK,54.52065955,-1.396963602,12,2070.180715,4.58949139,91.78982781,0,0,645.2824895,0,91.78982781,0,0,0,0,0,0,0,0,0,0,0,0,0,91.78982781,0,0,91.78982781,0,5782.759152,1.376847417,91.78982781,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58949139,0,4.58949139,0,0,0,0,0,0,0,0,1.835796556
32,43073,UKC11_109,UK,54.52537152,-1.386466304,3,1694.388503,3.756378072,75.12756145,0,0,528.146757,0,75.12756145,0,0,0,0,0,0,0,0,0,0,0,0,0,75.12756145,0,0,75.12756145,0,4733.036371,1.126913422,75.12756145,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756378072,0,3.756378072,0,0,0,0,0,0,0,0,1.502551229
33,43169,UKC11_110,UK,54.53184822,-1.429049361,12,3485.455155,7.727086968,154.5417394,0,0,1086.428428,0,154.5417394,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5417394,0,0,154.5417394,0,9736.12958,2.318126091,154.5417394,0,0,0,0,0,0,0,0,0,0,0,0,0,7.727086968,0,7.727086968,0,0,0,0,0,0,0,0,3.090834787
