,ID_,building,COUNTRY,CLC_2012,AREA_m2,07/02/2020,10/02/2020,15/02/2020,04/10/2020,31/10/2020,23/03/2021,LAT,LON
4897,4897_UKC11,house,UK,2,45.31749656,0,0,0,0,0,0,54.54630039,-1.302946272
4898,4898_UKC11,house,UK,2,45.87761285,0,0,0,0,0,0,54.54649888,-1.303395838
4899,4899_UKC11,house,UK,2,46.22659833,0,0,0,0,0,0,54.54642995,-1.3033846
4900,4900_UKC11,house,UK,2,46.49883053,0,0,0,0,0,0,54.54636055,-1.3033732
4901,4901_UKC11,house,UK,2,45.33709999,0,0,0,0,0,0,54.54629182,-1.303361811
4902,4902_UKC11,house,UK,2,47.58267218,0,0,0,0,0,0,54.54669032,-1.302011211
4903,4903_UKC11,house,UK,2,45.42166805,0,0,0,0,0,0,54.54662106,-1.302000553
4904,4904_UKC11,house,UK,2,46.51633467,0,0,0,0,0,0,54.54655248,-1.301990016
4905,4905_UKC11,house,UK,2,46.22628642,0,0,0,0,0,0,54.54648319,-1.301979492
4906,4906_UKC11,house,UK,2,45.84485852,0,0,0,0,0,0,54.54641425,-1.301969176
4907,4907_UKC11,house,UK,2,48.95429061,0,0,0,0,0,0,54.54634318,-1.301958616
4908,4908_UKC11,semidetached_house,UK,2,41.93138812,0,0,0,0,0,0,54.54621715,-1.300883984
4909,4909_UKC11,semidetached_house,UK,2,39.51012665,0,0,0,0,0,0,54.54617443,-1.300792458
4910,4910_UKC11,semidetached_house,UK,2,39.52238327,0,0,0,0,0,0,54.54597596,-1.300746785
4911,4911_UKC11,semidetached_house,UK,2,41.95845015,0,0,0,0,0,0,54.54592245,-1.30081955
4912,4912_UKC11,semidetached_house,UK,2,39.52275064,0,0,0,0,0,0,54.54623111,-1.300238155
4913,4913_UKC11,semidetached_house,UK,2,41.8807091,0,0,0,0,0,0,54.54618288,-1.300321144
4914,4914_UKC11,semidetached_house,UK,2,39.54263162,0,0,0,0,0,0,54.54675742,-1.30235796
4915,4915_UKC11,semidetached_house,UK,2,41.91199769,0,0,0,0,0,0,54.5466894,-1.3023508
4916,4916_UKC11,semidetached_house,UK,2,39.53837743,0,0,0,0,0,0,54.54672415,-1.3030937
4917,4917_UKC11,semidetached_house,UK,2,41.88393723,0,0,0,0,0,0,54.5466564,-1.3030807
4918,4918_UKC11,semidetached_house,UK,2,39.53839165,0,0,0,0,0,0,54.54670935,-1.3033691
4919,4919_UKC11,semidetached_house,UK,2,41.90714792,0,0,0,0,0,0,54.54664159,-1.303356123
4920,4920_UKC11,semidetached_house,UK,2,43.12436175,0,0,0,0,0,0,54.5471041,-1.3013269
4921,4921_UKC11,semidetached_house,UK,2,41.8727191,0,0,0,0,0,0,54.54709757,-1.301438606
4922,4922_UKC11,house,UK,2,45.92488697,0,0,0,0,0,0,54.54709599,-1.300781024
4923,4923_UKC11,house,UK,2,46.23320449,0,0,0,0,0,0,54.5470903,-1.300899776
4924,4924_UKC11,house,UK,2,46.59720551,0,0,0,0,0,0,54.54708453,-1.301019345
4925,4925_UKC11,house,UK,2,45.38543363,0,0,0,0,0,0,54.54707872,-1.301137618
4926,4926_UKC11,house,UK,2,45.88635714,0,0,0,0,0,0,54.54676467,-1.299428309
4927,4927_UKC11,house,UK,2,46.22953867,0,0,0,0,0,0,54.5466983,-1.2993945
4928,4928_UKC11,house,UK,2,46.55193936,0,0,0,0,0,0,54.54663145,-1.29936038
4929,4929_UKC11,house,UK,2,45.33507,0,0,0,0,0,0,54.54656522,-1.299326439
4930,4930_UKC11,house,UK,2,45.85578654,0,0,0,0,0,0,54.5464659,-1.299268179
4931,4931_UKC11,house,UK,2,46.21708821,0,0,0,0,0,0,54.54639904,-1.299237421
4932,4932_UKC11,house,UK,2,46.54755983,0,0,0,0,0,0,54.54633172,-1.299206338
4933,4933_UKC11,house,UK,2,45.38813148,0,0,0,0,0,0,54.54626502,-1.299175409
4934,4934_UKC11,semidetached_house,UK,2,41.92218169,0,0,0,0,0,0,54.546097,-1.29926025
4935,4935_UKC11,semidetached_house,UK,2,39.53042642,0,0,0,0,0,0,54.54615209,-1.299191083
4936,4936_UKC11,semidetached_house,UK,2,41.91040448,0,0,0,0,0,0,54.54599,-1.3003004
4937,4937_UKC11,semidetached_house,UK,2,39.54308623,0,0,0,0,0,0,54.54594655,-1.30020985
4938,4938_UKC11,semidetached_house,UK,2,36.08412361,0,0,0,0,0,0,54.5453925,-1.3001105
4939,4939_UKC11,semidetached_house,UK,2,36.78931273,0,0,0,0,0,0,54.54538543,-1.300189137
4940,4940_UKC11,house,UK,2,45.35889447,0,0,0,0,0,0,54.54458863,-1.298677155
4941,4941_UKC11,house,UK,2,46.53620576,0,0,0,0,0,0,54.54465013,-1.298622887
4942,4942_UKC11,house,UK,2,46.22326818,0,0,0,0,0,0,54.54471215,-1.29856795
4943,4943_UKC11,house,UK,2,45.83368221,0,0,0,0,0,0,54.54477368,-1.298513337
4944,4944_UKC11,house,UK,2,45.35499811,0,0,0,0,0,0,54.54413643,-1.299046787
4945,4945_UKC11,house,UK,2,46.51397969,0,0,0,0,0,0,54.54420534,-1.299054224
4946,4946_UKC11,house,UK,2,46.1839928,0,0,0,0,0,0,54.54427492,-1.299061611
4947,4947_UKC11,house,UK,2,45.83769046,0,0,0,0,0,0,54.544344,-1.299068826
4948,4948_UKC11,house,UK,2,45.3247217,0,0,0,0,0,0,54.5437941,-1.298989426
4949,4949_UKC11,house,UK,2,46.5722153,0,0,0,0,0,0,54.54386302,-1.298997861
4950,4950_UKC11,house,UK,2,46.20152248,0,0,0,0,0,0,54.5439326,-1.2990062
4951,4951_UKC11,house,UK,2,45.85435282,0,0,0,0,0,0,54.54400163,-1.299014437
4952,4952_UKC11,house,UK,2,45.33982865,0,0,0,0,0,0,54.54381382,-1.298592311
4953,4953_UKC11,house,UK,2,46.53058951,0,0,0,0,0,0,54.54388257,-1.298603711
4954,4954_UKC11,house,UK,2,46.22123992,0,0,0,0,0,0,54.543952,-1.2986151
4955,4955_UKC11,house,UK,2,45.87234149,0,0,0,0,0,0,54.54402093,-1.298626337
4956,4956_UKC11,house,UK,2,45.34391407,0,0,0,0,0,0,54.54347302,-1.298937361
4957,4957_UKC11,house,UK,2,46.53097466,0,0,0,0,0,0,54.54354177,-1.298948811
4958,4958_UKC11,house,UK,2,46.22162245,0,0,0,0,0,0,54.5436112,-1.2989602
4959,4959_UKC11,house,UK,2,45.84620998,0,0,0,0,0,0,54.54368012,-1.298971411
4960,4960_UKC11,house,UK,2,45.37735478,0,0,0,0,0,0,54.54349355,-1.2985392
4961,4961_UKC11,house,UK,2,46.53923622,0,0,0,0,0,0,54.54356232,-1.298550611
4962,4962_UKC11,house,UK,2,46.19256674,0,0,0,0,0,0,54.54363172,-1.298562011
4963,4963_UKC11,house,UK,2,45.90983555,0,0,0,0,0,0,54.54370065,-1.298573227
4964,4964_UKC11,house,UK,2,45.35402348,0,0,0,0,0,0,54.54417105,-1.298640077
4965,4965_UKC11,house,UK,2,46.53847046,0,0,0,0,0,0,54.54423982,-1.298651511
4966,4966_UKC11,house,UK,2,46.19180666,0,0,0,0,0,0,54.54430922,-1.298662911
4967,4967_UKC11,house,UK,2,45.89733769,0,0,0,0,0,0,54.5443781,-1.298674044
4968,4968_UKC11,house,UK,2,39.13210301,0,0,0,0,0,0,54.5444415,-1.2986841
4969,4969_UKC11,house,UK,2,45.38081596,0,0,0,0,0,0,54.54375215,-1.30014365
4970,4970_UKC11,house,UK,2,46.53894389,0,0,0,0,0,0,54.54382092,-1.300155111
4971,4971_UKC11,house,UK,2,46.21536577,0,0,0,0,0,0,54.54389033,-1.300166487
4972,4972_UKC11,house,UK,2,45.93249222,0,0,0,0,0,0,54.54395925,-1.30017765
4973,4973_UKC11,house,UK,2,45.3496029,0,0,0,0,0,0,54.54409662,-1.300190311
4974,4974_UKC11,house,UK,2,46.53859052,0,0,0,0,0,0,54.54416547,-1.300200161
4975,4975_UKC11,house,UK,2,46.23050356,0,0,0,0,0,0,54.544235,-1.30020995
4976,4976_UKC11,house,UK,2,45.85286341,0,0,0,0,0,0,54.544304,-1.300219576
4977,4977_UKC11,house,UK,2,45.31767641,0,0,0,0,0,0,54.54342073,-1.300096288
4978,4978_UKC11,house,UK,2,46.53103378,0,0,0,0,0,0,54.54348947,-1.300107711
4979,4979_UKC11,house,UK,2,46.22168116,0,0,0,0,0,0,54.5435589,-1.3001191
4980,4980_UKC11,house,UK,2,45.81716354,0,0,0,0,0,0,54.5436278,-1.3001303
4981,4981_UKC11,house,UK,2,45.34398711,0,0,0,0,0,0,54.54340672,-1.300489261
4982,4982_UKC11,house,UK,2,46.55431899,0,0,0,0,0,0,54.54347548,-1.300500687
4983,4983_UKC11,house,UK,2,46.27154962,0,0,0,0,0,0,54.5435449,-1.30051205
4984,4984_UKC11,house,UK,2,45.8665995,0,0,0,0,0,0,54.5436138,-1.30052325
4985,4985_UKC11,house,UK,2,45.38379001,0,0,0,0,0,0,54.54373365,-1.30053945
